date,downPayment20,downPayment035
1984,15990.0,2798.2500000000005
1985,16855.0,2949.6250000000005
1986,18405.0,3220.8750000000005
1987,20940.0,3664.5000000000005
1988,22445.0,3927.8750000000005
1989,24085.0,4214.875
1990,24460.0,4280.5
1991,23995.0,4199.125
1992,24275.0,4248.125
1993,25300.0,4427.5
1994,26085.0,4564.875
1995,26695.0,4671.625
1996,28050.0,4908.750000000001
1997,29000.0,5075.000000000001
1998,30385.0,5317.375000000001
1999,32025.0,5604.375000000001
2000,33510.0,5864.250000000001
2001,34620.0,6058.500000000001
2002,37205.0,6510.875000000001
2003,38425.0,6724.375000000001
2004,43630.0,7635.250000000001
2005,47310.0,8279.25
2006,48750.0,8531.25
2007,48990.0,8573.25
2008,45910.0,8034.250000000001
2009,43130.0,7547.750000000001
2010,44540.0,7794.500000000001
2011,44980.0,7871.500000000001
2012,48880.0,8554.0
2013,53245.0,9317.875
2014,57155.0,10002.125000000002
2015,58830.0,10295.250000000002
2016,61025.0,10679.375000000002
2017,64485.0,11284.875000000002
2018,65055.0,11384.625000000002
2019,64050.0,11208.750000000002
2020,65630.0,11485.250000000002
2021,76600.0,13405.000000000002
2022,86590.0,15153.250000000002
2023,85305.0,14928.375000000002
