observation_date,medianHHIncome,date,avgYearPrice,realMedianHHIncome,realHousePrice
1984-01-01,22420,1984,79950.0,65749.94071222328,234465.10972088543
1985-01-01,23620,1985,84275.0,66887.18624535316,238650.19563197027
1986-01-01,24900,1986,92025.0,69225.1806569343,255841.2550182482
1987-01-01,26060,1987,104700.0,69899.06795774648,280830.10035211267
1988-01-01,27230,1988,112225.0,70135.54911242603,289054.79247675405
1989-01-01,28910,1989,120425.0,71039.79693548387,295917.2447580645
1990-01-01,29940,1990,122300.0,69799.37169089519,285119.00994644227
1991-01-01,30130,1991,119975.0,67405.80954478709,268403.98274596187
1992-01-01,30640,1992,121375.0,66543.61568068423,263600.8927298646
1993-01-01,31240,1993,126500.0,65874.67460207613,266746.0415224914
1994-01-01,32260,1994,130425.0,66327.16950067476,268156.2641700405
1995-01-01,34080,1995,133475.0,68138.08503937008,266864.1696194226
1996-01-01,35490,1996,140250.0,68922.0776290631,272367.4665391969
1997-01-01,37010,1997,145000.0,70261.81320872274,275275.95015576325
1998-01-01,38890,1998,151925.0,72698.53239263804,283999.0880368098
1999-01-01,40700,1999,160125.0,74438.00360144058,292859.5903361345
2000-01-01,41990,2000,167550.0,74299.86631823462,296473.9843205575
2001-01-01,42230,2001,173100.0,72657.06075663467,297819.9672501412
2002-01-01,42410,2002,186025.0,71831.08293496387,315076.0953307393
2003-01-01,43320,2003,192125.0,71737.44913043479,318156.9116847826
2004-01-01,44330,2004,218150.0,71505.76844891477,351883.2255161461
2005-01-01,46330,2005,236550.0,72282.86564260113,369059.18125960056
2006-01-01,48200,2006,243750.0,72850.37896825398,368408.29613095237
2007-01-01,50230,2007,244950.0,73816.11762209296,359969.3014439911
2008-01-01,50300,2008,229550.0,71185.77353775842,324864.6981231102
2009-01-01,49780,2009,215650.0,70701.3967753814,306282.76847350335
2010-01-01,49280,2010,222700.0,68861.73533404263,311191.32424698246
2011-01-01,50050,2011,224900.0,67797.64780673872,304649.1706640467
2012-01-01,51020,2012,244400.0,67710.37588090281,324351.5457721021
2013-01-01,53590,2013,266225.0,70094.3958756337,348215.7220001975
2014-01-01,53660,2014,285775.0,69065.58073127872,367819.90930825897
2015-01-01,56520,2015,294150.0,72660.42958943873,378150.48414248764
2016-01-01,59040,2016,305125.0,74954.50582691337,387372.8589166149
2017-01-01,61140,2017,322425.0,76001.46981070496,400797.74131037854
2018-01-01,63180,2018,325275.0,76664.81762754523,394700.04042101576
2019-01-01,68700,2019,320250.0,81879.34380830565,381686.46076579165
2020-01-01,68010,2020,328150.0,80069.17410774658,386335.8253706373
2021-01-01,70780,2021,383000.0,79591.12654537402,430678.17839613237
2022-01-01,74580,2022,432950.0,77650.04923886489,450772.17508670624
2023-01-01,80610,2023,426525.0,80610.0,426525.0
